gpu_name,cpu_name,demand_score,resolution,preset,ray_tracing,rt_quality,upscaling,upscaling_quality,engine,game,gpu_key,cpu_key,avg_fps
GTX 1050 Ti,Ryzen 5 1600,2.8,1920x1080,Low,False,None,None,None,AnvilNext 2.0,Rainbow Six Siege,gtx1050ti,ryzen51600,38.1
RX 560,Ryzen 5 5500U,5.5,2560x1440,High,False,None,None,None,REDengine 3,The Witcher 3,rx560,ryzen55500u,8.0
RTX 2080,Ryzen 7 5700G,2.0,1920x1080,Ultra,False,None,None,None,Custom (Java),Minecraft,rtx2080,ryzen75700g,51.9
RTX 5060,Ryzen 5 5500U,6.5,1920x1080,High,True,Medium,FSR,Balanced,Unreal Engine 5,ARC Raiders,rtx5060,ryzen55500u,20.0
RTX 2080 Ti,Ryzen 5 1600,5.0,1920x1080,Low,False,None,None,None,Custom,Total War: Warhammer III,rtx2080ti,ryzen51600,49.0
GTX 750 Ti,Ryzen 5 5500U,1.8,2560x1440,Ultra,False,None,None,None,Source 2,CS2,gtx750ti,ryzen55500u,14.7
RX 5500 XT,Ryzen 7 5800H,2.2,1280x720,Ultra,False,None,None,None,Source 2,Dota 2,rx5500xt,ryzen75800h,71.8
GTX 1050 Ti,Ryzen 7 5700U,3.5,3840x2160,Medium,False,None,None,None,RAGE,GTA V,gtx1050ti,ryzen75700u,7.8
RTX 2080,Ryzen 7 5700U,1.6,1280x720,Ultra,False,None,None,None,Custom,Hades,rtx2080,ryzen75700u,118.4
RTX 5070,Ryzen 9 5900X,6.5,2560x1440,Medium,False,None,FSR,Balanced,Unreal Engine 5,ARC Raiders,rtx5070,ryzen95900x,31.8
RTX 4070 Ti,Ryzen 5 5600G,9.0,3840x2160,Low,False,None,None,None,Northlight,Alan Wake 2,rtx4070ti,ryzen55600g,12.3
RX 6400,Ryzen 5 1600,7.0,2560x1440,Ultra,False,None,None,None,RAGE,Red Dead Redemption 2,rx6400,ryzen51600,5.8
RX 6800 XT,Ryzen 9 5950X,8.8,1280x720,Ultra,True,Medium,FSR,Balanced,Unreal Engine 5,Black Myth: Wukong,rx6800xt,ryzen95950x,23.5
RTX 5070,Ryzen 5 1600,1.8,3840x2160,High,False,None,None,None,Unreal Engine 4,Fall Guys,rtx5070,ryzen51600,35.2
GTX 1080 Ti,Ryzen 7 5700G,6.0,1920x1080,High,False,None,FSR,Balanced,Unreal Engine 5,The Finals,gtx1080ti,ryzen75700g,36.0
GTX 960,Ryzen 7 5700U,5.2,1920x1080,High,False,None,None,None,Autodesk Stingray,Helldivers 2,gtx960,ryzen75700u,15.0
GTX 1080 Ti,Ryzen 7 5800H,4.5,1280x720,Medium,False,None,FSR,Performance,IW Engine,Call of Duty: MW3,gtx1080ti,ryzen75800h,146.0
RTX 5050,Ryzen 9 5950X,2.0,1920x1080,Medium,True,High,None,None,Custom (Java),Minecraft,rtx5050,ryzen95950x,35.4
RTX 5070 Ti,Ryzen 9 3900X,6.8,1920x1080,Medium,False,None,FSR,Ultra Quality,Unreal Engine 5,Borderlands 4,rtx5070ti,ryzen93900x,39.7
RTX 5070 Ti,Ryzen 7 5700G,5.5,2560x1440,High,False,None,None,None,Custom,Elden Ring,rtx5070ti,ryzen75700g,22.2
RTX 5070,Ryzen 9 3900X,2.5,1920x1080,High,False,None,None,None,Custom,Overwatch 2,rtx5070,ryzen93900x,71.0
RTX 5090,Ryzen 7 5800H,8.2,2560x1440,Low,False,None,FSR,Quality,Unreal Engine 5,Stalker 2,rtx5090,ryzen75800h,30.3
RTX 5070,Ryzen 7 5800H,3.0,1920x1080,Low,False,None,None,None,Custom,World of Warcraft,rtx5070,ryzen75800h,100.7
RTX 5060 Ti 16 GB,Ryzen 7 5800H,2.5,1920x1080,Medium,False,None,None,None,Custom,Civilization VII,rtx5060ti16gb,ryzen75800h,86.5
GTX 1080,Ryzen 7 5700G,2.6,2560x1440,High,False,None,None,None,Custom (Unity),Genshin Impact,gtx1080,ryzen75700g,32.9
RTX 2080 Ti,Ryzen 9 5950X,1.6,2560x1440,Ultra,False,None,None,None,Custom,Hades,rtx2080ti,ryzen95950x,43.6
RTX 5070 Ti,Ryzen 7 5800H,4.5,1920x1080,High,False,None,FSR,Balanced,Custom,Anno 117: Pax Romana,rtx5070ti,ryzen75800h,65.0
GTX 1050 Ti,Ryzen 5 5600G,5.0,1280x720,High,False,None,None,None,Custom,Total War: Warhammer III,gtx1050ti,ryzen55600g,27.4
RTX 2070 SUPER,Ryzen 5 5500U,6.2,1920x1080,Low,False,None,FSR,Ultra Quality,Decima,Horizon Forbidden West,rtx2070super,ryzen55500u,34.2
RX 7900 GRE,Ryzen 7 5800H,1.2,1280x720,Medium,False,None,None,None,Custom,League of Legends,rx7900gre,ryzen75800h,207.8
GTX 960,Ryzen 9 5950X,6.2,1920x1080,Ultra,False,None,None,None,Decima,Horizon Forbidden West,gtx960,ryzen95950x,9.9
GTX 960,Ryzen 5 PRO 5650U,1.6,1920x1080,High,False,None,None,None,Custom,Hades,gtx960,ryzen5pro5650u,45.6
RTX 3070,Ryzen 9 5900X,9.0,3840x2160,High,True,Low,None,None,Northlight,Alan Wake 2,rtx3070,ryzen95900x,4.3
GTX 1050 Ti,Ryzen 7 5700G,5.0,2560x1440,Ultra,False,None,None,None,Custom,Total War: Warhammer III,gtx1050ti,ryzen75700g,6.2
RTX 2080 SUPER,Ryzen 7 5700U,5.5,1280x720,Ultra,False,None,None,None,Unreal Engine 4,Ready or Not,rtx2080super,ryzen75700u,35.5
RTX 2070,Ryzen 9 3900X,7.0,1280x720,High,True,High,FSR,Ultra Quality,RE Engine,Monster Hunter Wilds,rtx2070,ryzen93900x,14.0
RTX 2070,Ryzen 7 5700G,3.0,2560x1440,Ultra,False,None,None,None,Custom,World of Warcraft,rtx2070,ryzen75700g,20.0
RTX 2080,Ryzen 5 PRO 5650U,4.5,2560x1440,High,True,Medium,FSR,Balanced,Custom,Anno 117: Pax Romana,rtx2080,ryzen5pro5650u,15.1
RTX 5060,Ryzen 7 5800H,5.5,2560x1440,Low,False,None,FSR,Balanced,Unreal Engine 4,Ready or Not,rtx5060,ryzen75800h,43.3
RX 6900 XT,Ryzen 7 5700G,5.0,3840x2160,Ultra,False,None,None,None,ForzaTech,Forza Horizon 5,rx6900xt,ryzen75700g,8.9
RX 560,Ryzen 9 5900X,1.4,3840x2160,High,False,None,None,None,Custom,Sims 4,rx560,ryzen95900x,17.6
RTX 4070 Ti,Ryzen 5 5600G,9.0,3840x2160,Ultra,False,None,FSR,Quality,Northlight,Alan Wake 2,rtx4070ti,ryzen55600g,7.1
RX 6500 XT,Ryzen 3 1200,3.5,1280x720,Low,False,None,None,None,RAGE,GTA V,rx6500xt,ryzen31200,93.7
RTX 5090,Ryzen 5 5600G,6.0,3840x2160,Low,True,Medium,FSR,Ultra Quality,Unreal Engine 5,The Finals,rtx5090,ryzen55600g,10.9
RX 7600 XT,Ryzen 9 5900X,6.8,2560x1440,Medium,True,High,FSR,Performance,Unreal Engine 4,Star Wars Jedi: Survivor,rx7600xt,ryzen95900x,15.4
RTX 4090,Ryzen 3 1200,1.8,1920x1080,High,False,None,None,None,Unreal Engine 4,Fall Guys,rtx4090,ryzen31200,78.7
RTX 3090,Ryzen 5 1600,3.0,1280x720,Ultra,False,None,None,None,Custom,World of Warcraft,rtx3090,ryzen51600,99.0
RX 6900 XT,Ryzen 5 5500U,6.5,1920x1080,Ultra,False,None,None,None,Unity,Escape from Tarkov,rx6900xt,ryzen55500u,21.8
RX 580,Ryzen 5 5600G,2.6,3840x2160,Medium,False,None,None,None,Custom (Unity),Genshin Impact,rx580,ryzen55600g,18.6
RTX 2070,Ryzen 5 1600,6.8,1920x1080,High,True,Low,None,None,Unreal Engine 4,Star Wars Jedi: Survivor,rtx2070,ryzen51600,12.8
RTX 4060,Ryzen 5 5500U,4.2,1920x1080,Medium,False,None,None,None,EGO Engine,F1 24,rtx4060,ryzen55500u,41.3
RTX 4080,Ryzen 7 5700G,1.6,1280x720,Ultra,False,None,None,None,Unreal Engine 3,Rocket League,rtx4080,ryzen75700g,191.0
RTX 2070,Ryzen 7 5700G,4.0,3840x2160,Medium,False,None,None,None,id Tech 7,Doom Eternal,rtx2070,ryzen75700g,14.2
GTX 1050 Ti,Ryzen 5 5600G,2.6,3840x2160,Medium,False,None,None,None,Custom (Unity),Genshin Impact,gtx1050ti,ryzen55600g,10.5
RX 7800 XT,Ryzen 5 5600G,4.0,1920x1080,High,True,Low,FSR,Balanced,Unreal Engine 5,Fortnite,rx7800xt,ryzen55600g,52.5
RTX 4090,Ryzen 9 5950X,7.8,3840x2160,Ultra,True,Medium,FSR,Balanced,id Tech 7,Indiana Jones and the Great Circle,rtx4090,ryzen95950x,4.9
RTX 3070,Ryzen 5 5600G,6.0,1920x1080,High,False,None,FSR,Quality,Unreal Engine 5,The Finals,rtx3070,ryzen55600g,34.7
GTX 1080,Ryzen 5 1600,6.0,1920x1080,High,False,None,FSR,Performance,Unreal Engine 5,The Finals,gtx1080,ryzen51600,39.1
GTX 1080,Ryzen 5 1600,4.5,1920x1080,High,False,None,None,None,Custom,Anno 117: Pax Romana,gtx1080,ryzen51600,29.5
RX 9060 XT 8 GB,Ryzen 5 1600,3.5,2560x1440,High,False,None,None,None,RAGE,GTA V,rx9060xt8gb,ryzen51600,30.7
GTX 750 Ti,Ryzen 7 5800H,4.0,2560x1440,Ultra,False,None,None,None,Unreal Engine 5,Fortnite,gtx750ti,ryzen75800h,6.3
RX 6800,Ryzen 5 1600,4.0,2560x1440,High,True,Low,None,None,Unreal Engine 5,Fortnite,rx6800,ryzen51600,16.9
RTX 2080 Ti,Ryzen 9 3900X,4.5,3840x2160,High,True,Medium,None,None,IW Engine,Call of Duty: MW3,rtx2080ti,ryzen93900x,6.3
RTX 3070 Ti,Ryzen 3 1200,7.8,3840x2160,Medium,True,Low,FSR,Balanced,id Tech 7,Indiana Jones and the Great Circle,rtx3070ti,ryzen31200,9.3
GTX 1070 Ti,Ryzen 7 5700G,5.0,2560x1440,High,False,None,FSR,Performance,ForzaTech,Forza Horizon 5,gtx1070ti,ryzen75700g,25.6
GTX 1650 SUPER,Ryzen 5 5500U,6.8,3840x2160,Low,False,None,FSR,Ultra Quality,Unreal Engine 4,Star Wars Jedi: Survivor,gtx1650super,ryzen55500u,8.6
RTX 2070,Ryzen 5 5600G,3.0,3840x2160,Medium,False,None,None,None,Source,Apex Legends,rtx2070,ryzen55600g,15.5
RX 6800,Ryzen 9 5950X,7.0,1280x720,High,False,None,None,None,RAGE,Red Dead Redemption 2,rx6800,ryzen95950x,39.1
RTX 2070,Ryzen 9 3900X,7.8,3840x2160,Ultra,False,None,FSR,Balanced,id Tech 7,Indiana Jones and the Great Circle,rtx2070,ryzen93900x,5.5
RTX 4070 Ti SUPER,Ryzen 7 5700U,6.0,1920x1080,High,False,None,FSR,Balanced,Unreal Engine 5,The Finals,rtx4070tisuper,ryzen75700u,51.7
RTX 2080,Ryzen 9 3900X,4.5,3840x2160,Ultra,False,None,None,None,Custom,Diablo 4,rtx2080,ryzen93900x,7.9
GTX 950,Ryzen 9 5900X,5.5,3840x2160,Medium,False,None,FSR,Ultra Quality,Unreal Engine 4,Ready or Not,gtx950,ryzen95900x,4.9
RTX 3090,Ryzen 9 5900X,2.0,3840x2160,Ultra,True,Low,None,None,Custom (Java),Minecraft,rtx3090,ryzen95900x,15.9
RX 7800 XT,Ryzen 9 3900X,5.5,2560x1440,High,False,None,None,None,Frostbite,Battlefield 2042,rx7800xt,ryzen93900x,24.0
RX 6900 XT,Ryzen 5 PRO 5650U,4.0,1280x720,Ultra,False,None,None,None,Dagor Engine,War Thunder,rx6900xt,ryzen5pro5650u,66.9
RTX 4080 SUPER,Ryzen 5 5500U,6.5,3840x2160,Low,True,Medium,None,None,Unreal Engine 4,Hogwarts Legacy,rtx4080super,ryzen55500u,8.8
RX 6600 XT,Ryzen 7 5700G,5.0,2560x1440,High,False,None,None,None,Divinity Engine 4.0,Baldur's Gate 3,rx6600xt,ryzen75700g,17.3
RTX 5070,Ryzen 9 5900X,6.5,1920x1080,Ultra,False,None,None,None,Unity,Escape from Tarkov,rtx5070,ryzen95900x,20.2
RX 9060 XT 16 GB,Ryzen 9 5950X,6.5,2560x1440,High,False,None,None,None,Creation Engine 2,Starfield,rx9060xt16gb,ryzen95950x,17.3
RTX 4060,Ryzen 5 PRO 5650U,2.6,1920x1080,High,False,None,None,None,Custom (Unity),Genshin Impact,rtx4060,ryzen5pro5650u,58.1
RX 480,Ryzen 7 5700G,5.5,1280x720,Ultra,False,None,None,None,Custom,Elden Ring,rx480,ryzen75700g,26.9
RTX 5070,Ryzen 5 PRO 5650U,4.5,1920x1080,High,True,High,FSR,Performance,IW Engine,Call of Duty: MW3,rtx5070,ryzen5pro5650u,33.1
GTX 1080 Ti,Ryzen 5 1600,2.8,1920x1080,Medium,False,None,None,None,AnvilNext 2.0,Rainbow Six Siege,gtx1080ti,ryzen51600,65.7
RTX 5080,Ryzen 5 1600,5.8,1920x1080,High,False,None,None,None,Insomniac Engine,Spider-Man Remastered,rtx5080,ryzen51600,37.6
RX 590,Ryzen 5 1600,5.0,1920x1080,Low,False,None,None,None,ForzaTech,Forza Horizon 5,rx590,ryzen51600,40.9
GTX 1660 Ti,Ryzen 9 5950X,3.6,1920x1080,Medium,False,None,None,None,Unreal Engine 4,PUBG,gtx1660ti,ryzen95950x,37.8
RTX 2080 Ti,Ryzen 5 5600G,5.0,2560x1440,High,True,High,FSR,Quality,ForzaTech,Forza Horizon 5,rtx2080ti,ryzen55600g,9.6
GTX 1650 SUPER,Ryzen 3 1200,6.2,2560x1440,High,False,None,None,None,Decima,Horizon Forbidden West,gtx1650super,ryzen31200,10.8
RTX 4080,Ryzen 5 5500U,1.6,1920x1080,High,False,None,None,None,Custom,Hades,rtx4080,ryzen55500u,123.7
RTX 5090,Ryzen 3 1200,5.0,3840x2160,High,False,None,None,None,Custom,Total War: Warhammer III,rtx5090,ryzen31200,13.5
RTX 2080 SUPER,Ryzen 7 5700U,1.4,3840x2160,Low,False,None,None,None,Custom,Sims 4,rtx2080super,ryzen75700u,51.0
RTX 2060 SUPER,Ryzen 9 5950X,4.0,1280x720,Medium,False,None,None,None,Dagor Engine,War Thunder,rtx2060super,ryzen95950x,67.0
RX 6650 XT,Ryzen 5 1600,5.5,3840x2160,Medium,True,High,None,None,REDengine 3,The Witcher 3,rx6650xt,ryzen51600,4.5
RX 590,Ryzen 9 3900X,5.8,3840x2160,Low,False,None,FSR,Quality,Insomniac Engine,Spider-Man Remastered,rx590,ryzen93900x,13.0
RTX 2070,Ryzen 7 5700G,1.8,3840x2160,Ultra,False,None,None,None,Source 2,CS2,rtx2070,ryzen75700g,17.5
RTX 4070 Ti,Ryzen 3 1200,9.0,1280x720,Medium,False,None,FSR,Quality,Northlight,Alan Wake 2,rtx4070ti,ryzen31200,62.7
RTX 5080,Ryzen 5 1600,4.5,2560x1440,High,True,High,FSR,Performance,IW Engine,Call of Duty: MW3,rtx5080,ryzen51600,24.7
RTX 2080,Ryzen 5 5600G,7.0,3840x2160,Medium,True,High,None,None,RE Engine,Monster Hunter Wilds,rtx2080,ryzen55600g,3.3
GTX 1660 Ti,Ryzen 5 5600G,7.0,1920x1080,Ultra,False,None,None,None,RE Engine,Monster Hunter Wilds,gtx1660ti,ryzen55600g,10.4
RTX 3090,Ryzen 9 3900X,3.6,1920x1080,High,False,None,None,None,Unreal Engine 4,PUBG,rtx3090,ryzen93900x,53.2
GTX 1080,Ryzen 5 PRO 5650U,8.8,3840x2160,Low,False,None,FSR,Quality,Unreal Engine 5,Black Myth: Wukong,gtx1080,ryzen5pro5650u,9.6
GTX 1630,Ryzen 7 5800H,4.8,3840x2160,Medium,False,None,None,None,Unreal Engine 5,Palworld,gtx1630,ryzen75800h,5.6
RTX 4060 Ti 16 GB,Ryzen 5 PRO 5650U,6.8,1920x1080,Ultra,True,High,FSR,Quality,Unreal Engine 5,Borderlands 4,rtx4060ti16gb,ryzen5pro5650u,9.2
RTX 4080,Ryzen 7 5700G,4.2,1920x1080,Ultra,True,Medium,None,None,EGO Engine,F1 24,rtx4080,ryzen75700g,23.1
RTX 5070,Ryzen 5 5600G,6.5,1920x1080,Medium,False,None,FSR,Balanced,Creation Engine 2,Starfield,rtx5070,ryzen55600g,53.3
GTX 1050 Ti,Ryzen 7 5700G,6.5,2560x1440,Low,False,None,FSR,Balanced,Unreal Engine 5,ARC Raiders,gtx1050ti,ryzen75700g,16.0
RTX 3070,Ryzen 9 3900X,6.0,1280x720,Medium,True,High,FSR,Balanced,Unreal Engine 5,The Finals,rtx3070,ryzen93900x,40.0
